User: rhuang
Most recent finished jobs: all
Start time filter: now-7weeks

JobID      JobName                  State      End                 ReqCPU  Alloc   EffCores  EffReq(%) EffAlloc(%) ReqMem    AveRSS    MaxRSS    Mem(%)  
---------- ------------------------ ---------- ------------------- ------- ------- --------- --------- ---------- --------- --------- --------- --------
43091808   NGC4396_v3tk_v7.6.8      TIMEOUT    24 May 15:35        128     256     16.44     12.84%    6.42%      220GiB    110GiB    220GiB    99.98%  
43091807   NGC4383_v3tk_v7.6.8      TIMEOUT    24 May 15:35        128     256     10.76     8.41%     4.20%      220GiB    104GiB    208GiB    94.77%  
43091806   NGC4330_v3tk_v7.6.8      TIMEOUT    24 May 15:35        128     256     5.81      4.54%     2.27%      220GiB    110GiB    220GiB    99.98%  
43091805   NGC4302_v3tk_v7.6.8      TIMEOUT    24 May 15:35        128     256     6.54      5.11%     2.56%      220GiB    90.5GiB   181GiB    82.23%  
43091804   NGC4298_v3tk_v7.6.8      TIMEOUT    24 May 15:35        128     256     4.92      3.84%     1.92%      220GiB    110GiB    220GiB    99.98%  
43091803   NGC4294_v3tk_v7.6.8      COMPLETED  24 May 12:20        128     256     10.99     8.59%     4.29%      220GiB    82.4GiB   165GiB    74.87%  
43091802   NGC4293_v3tk_v7.6.8      TIMEOUT    24 May 15:35        128     256     7.80      6.10%     3.05%      220GiB    108GiB    216GiB    98.23%  
43091721   NGC4698_v3tk_v7.6.8      FAILED     23 May 15:26        128     256     0.00      0.00%     0.00%      220GiB    10.9MiB   21.1MiB   0.01%   
43091717   NGC4580_v3tk_v7.6.8      FAILED     23 May 15:26        128     256     0.00      0.00%     0.00%      220GiB    11.3MiB   22.0MiB   0.01%   
43091716   NGC4567_8_v3tk_v7.6.8    FAILED     23 May 15:26        128     256     0.00      0.00%     0.00%      220GiB    7.43MiB   21.5MiB   0.01%   
43091715   NGC4457_v3tk_v7.6.8      FAILED     23 May 15:26        128     256     0.00      0.00%     0.00%      220GiB    11.0MiB   21.4MiB   0.01%   
43091714   NGC4419_v3tk_v7.6.8      FAILED     23 May 15:26        128     256     0.00      0.00%     0.00%      220GiB    11.0MiB   21.4MiB   0.01%   
43091713   NGC4396_v3tk_v7.6.8      FAILED     23 May 15:26        128     256     0.00      0.00%     0.00%      220GiB    11.0MiB   21.4MiB   0.01%   
43091712   NGC4383_v3tk_v7.6.8      FAILED     23 May 15:26        128     256     0.00      0.00%     0.00%      220GiB    7.40MiB   21.3MiB   0.01%   
43091711   NGC4330_v3tk_v7.6.8      FAILED     23 May 15:26        128     256     0.00      0.00%     0.00%      220GiB    11.4MiB   22.2MiB   0.01%   
43091710   NGC4302_v3tk_v7.6.8      FAILED     23 May 15:26        128     256     0.00      0.00%     0.00%      220GiB    11.0MiB   21.1MiB   0.01%   
43091709   NGC4298_v3tk_v7.6.8      FAILED     23 May 15:26        128     256     0.00      0.00%     0.00%      220GiB    11.3MiB   21.9MiB   0.01%   
43091708   NGC4294_v3tk_v7.6.8      FAILED     23 May 15:26        128     256     0.00      0.00%     0.00%      220GiB    11.8MiB   22.8MiB   0.01%   
43091707   NGC4293_v3tk_v7.6.8      FAILED     23 May 15:26        128     256     0.00      0.00%     0.00%      220GiB    11.4MiB   21.9MiB   0.01%   
43065232   NGC4501_v3tk_v7.6.8      COMPLETED  25 May 07:31        128     256     34.98     27.33%    13.66%     980GiB    366GiB    732GiB    74.66%  
43065227   NGC4192_v3tk_v7.6.8      COMPLETED  25 May 09:16        128     256     17.59     13.74%    6.87%      980GiB    442GiB    884GiB    90.24%  
43057922   NGC4698_v3tk_v7.6.8      TIMEOUT    23 May 12:26        128     256     5.69      4.44%     2.22%      220GiB    110GiB    220GiB    99.99%  
43057921   NGC4694_v3tk_v7.6.8      COMPLETED  22 May 22:33        128     256     24.11     18.83%    9.42%      220GiB    57.7GiB   115GiB    52.43%  
43057920   NGC4607_v3tk_v7.6.8      COMPLETED  22 May 19:46        128     256     43.58     34.05%    17.02%     220GiB    44.7GiB   134GiB    60.88%  
43057919   NGC4606_v3tk_v7.6.8      COMPLETED  22 May 19:07        128     256     28.62     22.36%    11.18%     220GiB    64.1GiB   128GiB    58.29%  
43057918   NGC4580_v3tk_v7.6.8      TIMEOUT    23 May 12:26        128     256     8.33      6.51%     3.25%      220GiB    77.0GiB   154GiB    70.02%  
43057917   NGC4567_8_v3tk_v7.6.8    TIMEOUT    23 May 12:26        128     256     6.97      5.45%     2.72%      220GiB    110GiB    220GiB    99.98%  
43057916   NGC4522_v3tk_v7.6.8      COMPLETED  23 May 09:50        128     256     11.02     8.61%     4.31%      220GiB    84.7GiB   169GiB    77.01%  
43057915   NGC4501_v3tk_v7.6.8      FAILED     22 May 15:07        128     256     0.98      0.76%     0.38%      220GiB    110GiB    220GiB    99.98%  
43057914   NGC4457_v3tk_v7.6.8      TIMEOUT    23 May 12:26        128     256     17.55     13.71%    6.86%      220GiB    110GiB    220GiB    99.98%  
43057913   NGC4419_v3tk_v7.6.8      TIMEOUT    23 May 12:26        128     256     14.49     11.32%    5.66%      220GiB    88.8GiB   178GiB    80.75%  
43057912   NGC4405_v3tk_v7.6.8      COMPLETED  23 May 01:54        128     256     22.39     17.49%    8.75%      220GiB    58.7GiB   176GiB    80.05%  
43057911   NGC4402_v3tk_v7.6.8      COMPLETED  22 May 21:31        128     256     90.41     70.63%    35.32%     220GiB    98.4GiB   197GiB    89.41%  
43057910   NGC4396_v3tk_v7.6.8      TIMEOUT    23 May 12:26        128     256     9.75      7.61%     3.81%      220GiB    110GiB    220GiB    99.98%  
43057909   NGC4394_v3tk_v7.6.8      COMPLETED  22 May 23:31        128     256     35.25     27.54%    13.77%     220GiB    85.8GiB   172GiB    78.01%  
43057908   NGC4388_v3tk_v7.6.8      COMPLETED  23 May 02:23        128     256     56.34     44.01%    22.01%     220GiB    85.3GiB   171GiB    77.56%  
43057907   NGC4383_v3tk_v7.6.8      TIMEOUT    23 May 12:26        128     256     5.64      4.41%     2.20%      220GiB    61.9GiB   186GiB    84.45%  
43057906   NGC4351_v3tk_v7.6.8      COMPLETED  22 May 22:31        128     256     30.01     23.45%    11.72%     220GiB    45.1GiB   135GiB    61.43%  
43057905   NGC4330_v3tk_v7.6.8      TIMEOUT    23 May 12:25        128     256     5.13      4.00%     2.00%      220GiB    110GiB    220GiB    99.98%  
43057904   NGC4302_v3tk_v7.6.8      TIMEOUT    23 May 12:25        128     256     8.37      6.54%     3.27%      220GiB    85.7GiB   171GiB    77.86%  
43057903   NGC4298_v3tk_v7.6.8      TIMEOUT    23 May 12:25        128     256     3.71      2.90%     1.45%      220GiB    110GiB    220GiB    99.98%  
43057902   NGC4294_v3tk_v7.6.8      TIMEOUT    23 May 12:25        128     256     6.79      5.30%     2.65%      220GiB    39.7GiB   119GiB    54.12%  
43057901   NGC4293_v3tk_v7.6.8      TIMEOUT    23 May 12:25        128     256     18.52     14.47%    7.23%      220GiB    97.3GiB   194GiB    88.40%  
43057900   NGC4192_v3tk_v7.6.8      FAILED     22 May 15:00        128     256     0.98      0.77%     0.38%      220GiB    110GiB    220GiB    99.98%  
